iter Noise Position TauMean TauVar KsiMean KsiVar Delta#1 Beta#1 S#1 NuMean NuVar
12000 0.136766 0.476668 69.2635 51.1156 0 0.00126043 0.107033 0.0725147 0 -0.0457412 0.00643013
12100 0.136829 0.478901 69.2393 51.1758 0 0.00126242 0.101278 0.0712387 0 -0.0449957 0.00655959
12200 0.136491 0.478075 69.1878 51.128 0 0.00126837 0.102994 0.0755208 0 -0.0448387 0.00652455
12300 0.136349 0.474858 69.1838 51.1473 0 0.00126615 0.101893 0.0766511 0 -0.0445342 0.0066042
12400 0.13704 0.472714 69.1535 51.0949 0 0.00127843 0.0961692 0.0704097 0 -0.0441985 0.00655724
12500 0.137043 0.471453 69.1233 51.0643 0 0.00128765 0.0989956 0.0711102 0 -0.0440284 0.00655243
12600 0.137077 0.470332 69.1145 51.0672 0 0.00129991 0.0963331 0.0743891 0 -0.0440567 0.00654274
12700 0.137409 0.467573 69.1354 51.0054 0 0.00130968 0.104511 0.0719363 0 -0.0441929 0.00661715
12800 0.136704 0.465489 69.1511 50.991 0 0.00131698 0.101218 0.0698534 0 -0.0441397 0.00661766
12900 0.136766 0.468528 69.1871 50.8502 0 0.00131905 0.10997 0.0720497 0 -0.0435735 0.0066911
13000 0.137052 0.469841 69.185 50.6609 0 0.00131946 0.107396 0.0723447 0 -0.0433026 0.00673914
13100 0.137076 0.468307 69.221 50.7569 0 0.00132616 0.109306 0.0692305 0 -0.0435301 0.00683581
13200 0.136927 0.467823 69.2418 50.6781 0 0.00134032 0.0999424 0.0673181 0 -0.0428058 0.00687041
13300 0.137042 0.468161 69.168 50.691 0 0.00134462 0.0955348 0.0604428 0 -0.0420853 0.00683708
13400 0.137157 0.465204 69.1464 50.6576 0 0.00134556 0.0970157 0.0562377 0 -0.0423254 0.00685341
13500 0.136963 0.465028 69.1079 50.6517 0 0.00135154 0.0993546 0.0560042 0 -0.0418261 0.00682056
13600 0.136957 0.462582 69.0988 50.6243 0 0.00135433 0.0982194 0.0549911 0 -0.0415501 0.00677751
13700 0.136876 0.460727 69.1389 50.4649 0 0.00135379 0.098366 0.0563685 0 -0.0416891 0.00685933
13800 0.136845 0.460758 69.1674 50.4057 0 0.00135952 0.0886102 0.0540458 0 -0.0415544 0.00690298
13900 0.136804 0.461283 69.1893 50.3642 0 0.00136351 0.0877139 0.0536346 0 -0.0409829 0.00693698
14000 0.136927 0.459975 69.1839 50.2627 0 0.00136764 0.0880346 0.0559877 0 -0.0406608 0.00693338
14100 0.136688 0.459982 69.1632 50.2609 0 0.00136834 0.0854407 0.0507977 0 -0.0398929 0.00699569
14200 0.136303 0.460761 69.1337 50.2233 0 0.00137228 0.0701655 0.0492104 0 -0.0391099 0.00705936
14300 0.136303 0.459006 69.1314 50.1958 0 0.00137664 0.0677344 0.0413878 0 -0.0388701 0.0070908
14400 0.136666 0.456188 69.1142 50.1742 0 0.00138223 0.0657152 0.0392775 0 -0.038812 0.0070984
14500 0.136754 0.453928 69.11 50.1707 0 0.00138804 0.063872 0.0437972 0 -0.0388054 0.00710096
14600 0.136656 0.452938 69.1227 50.0916 0 0.00139352 0.0615376 0.0460789 0 -0.0388204 0.00711511
14700 0.136862 0.452142 69.1323 50.0739 0 0.00139786 0.0743213 0.0453951 0 -0.0386937 0.00713085
14800 0.137117 0.451375 69.1213 50.0361 0 0.00140344 0.0870168 0.0434607 0 -0.0384528 0.0071427
14900 0.137257 0.449528 69.1026 50.0317 0 0.00140732 0.0955281 0.0425569 0 -0.038588 0.00710622
15000 0.137263 0.447278 69.0977 50.0174 0 0.00141236 0.103663 0.0362907 0 -0.0383712 0.00710619
15100 0.137118 0.445857 69.0777 49.9785 0 0.0014137 0.115559 0.0283315 0 -0.0381004 0.00712782
15200 0.137244 0.444077 69.0692 49.9992 0 0.0014191 0.123512 0.0185949 0 -0.0380221 0.00713624
15300 0.137574 0.442152 69.0828 49.9597 0 0.00142451 0.136696 0.0160145 0 -0.037994 0.00713926
15400 0.137687 0.44044 69.1187 49.94 0 0.00143383 0.142497 0.0190586 0 -0.0382808 0.00718357
15500 0.137772 0.438367 69.177 49.8834 0 0.00144437 0.148787 0.0215636 0 -0.0386846 0.00723392
15600 0.137798 0.436255 69.2179 49.8482 0 0.00144742 0.153429 0.0217978 0 -0.038941 0.00728395
15700 0.137864 0.434512 69.233 49.8479 0 0.00145236 0.162478 0.0216175 0 -0.0388981 0.00732671
15800 0.13813 0.433482 69.2391 49.7889 0 0.00145992 0.166085 0.0231782 0 -0.038359 0.00737281
15900 0.138304 0.431839 69.2446 49.7639 0 0.00146625 0.171139 0.0233118 0 -0.0380487 0.00740799
16000 0.138654 0.430092 69.2368 49.7551 0 0.00147452 0.173627 0.0220756 0 -0.0376618 0.00743287
16100 0.138884 0.428565 69.2048 49.6874 0 0.00148501 0.172874 0.0217007 0 -0.0371503 0.00745677
16200 0.138601 0.428303 69.1743 49.6412 0 0.00149304 0.168974 0.0227578 0 -0.0364866 0.00744201
16300 0.138228 0.427162 69.1857 49.5906 0 0.00149549 0.169605 0.021118 0 -0.0361969 0.00749033
16400 0.1379 0.427064 69.184 49.5282 0 0.00149578 0.169006 0.0182254 0 -0.0357223 0.00748627
16500 0.137673 0.426842 69.15 49.4963 0 0.00149904 0.166688 0.0195904 0 -0.0353277 0.00746967
16600 0.137715 0.424723 69.1357 49.5157 0 0.00150695 0.172655 0.0190413 0 -0.0351446 0.00746187
16700 0.137878 0.422032 69.1379 49.4692 0 0.00151667 0.175101 0.0161222 0 -0.0350586 0.00745818
16800 0.138074 0.419646 69.1486 49.4633 0 0.00152814 0.176545 0.012879 0 -0.0350177 0.00745641
16900 0.138309 0.417455 69.1538 49.4589 0 0.00153908 0.179932 0.0117391 0 -0.0349979 0.00745556
17000 0.138018 0.416652 69.147 49.4237 0 0.00154743 0.177867 0.012666 0 -0.0347996 0.00745255
17100 0.137843 0.415904 69.1299 49.3777 0 0.00155775 0.177038 0.0139938 0 -0.0342834 0.00743247
17200 0.137896 0.415117 69.1266 49.3401 0 0.00156798 0.176932 0.0152659 0 -0.0338503 0.00742617
17300 0.138165 0.41412 69.1284 49.3258 0 0.00157478 0.170516 0.0181023 0 -0.0333468 0.00743421
17400 0.1384 0.413513 69.143 49.2894 0 0.00158278 0.169907 0.0182555 0 -0.0328124 0.00744831
17500 0.138608 0.413426 69.1372 49.2643 0 0.00159257 0.17178 0.0174618 0 -0.032173 0.00745121
17600 0.138442 0.414227 69.0843 49.1996 0 0.00160171 0.173032 0.0144722 0 -0.0314647 0.00743952
17700 0.138322 0.413755 69.0617 49.162 0 0.00161249 0.17864 0.0126804 0 -0.031079 0.00743399
17800 0.138241 0.414019 69.0444 49.0943 0 0.00161992 0.184081 0.0137004 0 -0.0306585 0.00746291
17900 0.138216 0.413738 69.0175 49.0391 0 0.00162656 0.189868 0.0148789 0 -0.0305149 0.00746359
18000 0.138081 0.413554 69.0023 48.9915 0 0.00163406 0.193906 0.0156385 0 -0.0303897 0.00747402
18100 0.138053 0.413246 68.9945 48.9344 0 0.00164169 0.19306 0.0159787 0 -0.0303375 0.0075001
18200 0.138011 0.412041 68.9874 48.9105 0 0.00165053 0.192026 0.0164598 0 -0.030359 0.00751199
18300 0.138231 0.410256 68.9804 48.8886 0 0.00165672 0.192235 0.0155397 0 -0.0303709 0.00751849
18400 0.138637 0.408094 68.978 48.878 0 0.00166723 0.192764 0.0159739 0 -0.0303774 0.00752208
18500 0.139074 0.4061 68.9728 48.888 0 0.00167426 0.193315 0.0161168 0 -0.030381 0.00752407
18600 0.139398 0.404245 68.9637 48.8988 0 0.00167953 0.195052 0.0142256 0 -0.0304088 0.00752552
18700 0.139529 0.402727 68.951 48.8568 0 0.00168809 0.199106 0.0122997 0 -0.0303312 0.00752545
18800 0.139429 0.400907 68.9281 48.8431 0 0.0016977 0.206075 0.0078803 0 -0.0304067 0.00750406
18900 0.139171 0.397883 68.9097 48.8577 0 0.00170811 0.211559 0.00339859 0 -0.0307209 0.00748433
19000 0.139098 0.395322 68.8952 48.875 0 0.00171904 0.218381 0.000639694 0 -0.0309124 0.00747209
19100 0.13901 0.393146 68.8973 48.9026 0 0.00173168 0.224254 -0.000351972 0 -0.0310977 0.00748113
19200 0.138961 0.390832 68.9021 48.9046 0 0.00174423 0.227453 -0.00293729 0 -0.0312107 0.00748946
19300 0.138904 0.388988 68.9227 48.8858 0 0.00175766 0.230587 -0.00611435 0 -0.0310946 0.00755358
19400 0.138905 0.387413 68.925 48.8872 0 0.00176925 0.234096 -0.00871294 0 -0.0309464 0.00759484
19500 0.139031 0.385439 68.9138 48.9002 0 0.00177764 0.241373 -0.00985557 0 -0.0310354 0.00759774
19600 0.139332 0.383425 68.9047 48.8783 0 0.00178685 0.250356 -0.0110858 0 -0.0311277 0.00759664
19700 0.139485 0.381409 68.9096 48.8552 0 0.00179831 0.257176 -0.0119142 0 -0.0311847 0.00759471
19800 0.139563 0.379037 68.9031 48.8673 0 0.00180954 0.263506 -0.0103704 0 -0.0312878 0.00755758
19900 0.139659 0.377328 68.8985 48.86 0 0.00181937 0.268453 -0.00695067 0 -0.0312167 0.00754609
20000 0.139797 0.375206 68.9033 48.869 0 0.00183111 0.270099 -0.00390044 0 -0.0312151 0.00752592
