P0, T0, V0, sigmaKsi, sigmaTau, sigma, 
0.479955, 70.0178, -0.0197992, 0.0250829, 0.00322612, 0.0289533, 
0.480078, 70.0169, -0.0197629, 0.0251919, 0.00322335, 0.0289724, 
0.480331, 70.0164, -0.0196524, 0.0253223, 0.00322141, 0.0290034, 
0.481023, 70.0159, -0.019506, 0.025445, 0.00321876, 0.0291017, 
0.481831, 70.0154, -0.0195155, 0.025579, 0.003215, 0.0292198, 
0.482114, 70.0149, -0.0196037, 0.0257001, 0.00321181, 0.0292469, 
0.482642, 70.015, -0.0198922, 0.0257989, 0.00320765, 0.0292917, 
0.483146, 70.0152, -0.0197024, 0.0259, 0.00320368, 0.0293191, 
0.484052, 70.0163, -0.0191397, 0.0260267, 0.00319995, 0.0293537, 
0.484618, 70.0174, -0.0186414, 0.0261485, 0.00319637, 0.0293722, 
0.485158, 70.0185, -0.0181574, 0.0262672, 0.0031941, 0.0294453, 
0.486209, 70.0193, -0.0180308, 0.0264107, 0.00319185, 0.029547, 
0.487213, 70.0204, -0.0178433, 0.0265385, 0.00318984, 0.0296942, 
0.488171, 70.0221, -0.0176932, 0.0266469, 0.00318699, 0.0297606, 
0.488983, 70.0235, -0.0176338, 0.0267341, 0.00318411, 0.0298365, 
0.489759, 70.0249, -0.0175595, 0.0267901, 0.00318113, 0.0299088, 
0.490929, 70.0261, -0.0174269, 0.0268134, 0.0031775, 0.0300097, 
0.491779, 70.0274, -0.0173211, 0.0268293, 0.00317445, 0.0300545, 
0.491982, 70.0283, -0.0176054, 0.0268399, 0.00317164, 0.0300138, 
0.49177, 70.0294, -0.0178609, 0.0268943, 0.00316997, 0.0300005, 
0.491568, 70.0309, -0.0178804, 0.0269438, 0.00316803, 0.0300326, 
0.490491, 70.032, -0.0178263, 0.0269819, 0.00316639, 0.0301915, 
0.489607, 70.0331, -0.017417, 0.0270404, 0.00316535, 0.0303256, 
0.489324, 70.0346, -0.0169885, 0.027051, 0.0031646, 0.0304401, 
0.488972, 70.0353, -0.0165051, 0.0270504, 0.00316457, 0.0305161, 
0.488604, 70.0359, -0.016099, 0.0270548, 0.0031649, 0.0305588, 
0.488214, 70.0364, -0.0157449, 0.0270658, 0.00316478, 0.0305935, 
0.488083, 70.0364, -0.0155658, 0.0270828, 0.00316541, 0.030596, 
0.488064, 70.0371, -0.0151103, 0.0271083, 0.00316548, 0.0305915, 
0.488134, 70.0371, -0.0148097, 0.0271183, 0.00316627, 0.0305809, 
0.488415, 70.037, -0.0145538, 0.0271342, 0.00316732, 0.0306977, 
0.488944, 70.037, -0.0142513, 0.0271339, 0.00316828, 0.0308494, 
0.488953, 70.0375, -0.0140691, 0.0271585, 0.0031695, 0.0308248, 
0.488882, 70.0378, -0.0139179, 0.0271856, 0.00317092, 0.0309, 
0.489064, 70.0374, -0.0136085, 0.0272408, 0.00317295, 0.030976, 
0.489101, 70.0364, -0.0136424, 0.0272887, 0.00317573, 0.0311644, 
0.489737, 70.0354, -0.0133078, 0.0273541, 0.00317853, 0.031435, 
0.490347, 70.0342, -0.0126908, 0.0274255, 0.00318136, 0.0316456, 
0.490745, 70.033, -0.012111, 0.0274694, 0.0031848, 0.031839, 
0.491131, 70.0322, -0.0116635, 0.0274885, 0.00318787, 0.0320045, 
0.49142, 70.0317, -0.0110271, 0.0275086, 0.00319117, 0.0320782, 
0.491401, 70.0316, -0.0106638, 0.0275248, 0.00319395, 0.0321975, 
0.490904, 70.0315, -0.0102052, 0.0275518, 0.00319728, 0.0323079, 
0.490104, 70.0317, -0.00974776, 0.0275681, 0.00320158, 0.032358, 
0.489337, 70.0321, -0.00948487, 0.0275788, 0.00320576, 0.0323323, 
0.488347, 70.0326, -0.00898796, 0.027582, 0.0032095, 0.0322855, 
0.487138, 70.033, -0.00872627, 0.027595, 0.00321394, 0.0323108, 
0.486036, 70.0336, -0.00864539, 0.0275971, 0.00321749, 0.032451, 
0.485495, 70.0341, -0.00836947, 0.0276106, 0.00322092, 0.032481, 
0.484984, 70.0346, -0.0080529, 0.027619, 0.0032243, 0.0324331, 
0.484844, 70.0354, -0.00766127, 0.0276368, 0.00322726, 0.0323656, 
0.484846, 70.036, -0.00737539, 0.0276449, 0.00323053, 0.0322766, 
0.485258, 70.0361, -0.0074067, 0.0276261, 0.00323377, 0.0322393, 
0.485697, 70.0358, -0.00750652, 0.0276142, 0.0032367, 0.0322291, 
0.485902, 70.0356, -0.00774174, 0.0275983, 0.00323886, 0.0322121, 
